# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential data on a grid V(R, theta)
# Theta points correspond to 7-point Gauss-Lobatto quadrature 
# All data are in atomic units (Bohr / Hartree)
# 
#   R      V(r, theta)       
# theta = 0.0
 17.01   -2.029E-05  
 17.95   -1.465E-05  
 18.90   -1.046E-05  
 19.84   -7.631E-06  
 20.79   -5.644E-06  
 21.73   -4.241E-06  
 22.68   -3.231E-06  
 23.62   -2.450E-06  
 24.57   -2.140E-06  
 25.51   -1.510E-06  
 26.46   -1.252E-06  
 27.40   -1.019E-06  
 28.35   -8.238E-07  
 30.24   -4.087E-07  
 32.13   -3.413E-07  
 34.02   -2.839E-07  
 35.90   -1.312E-07  
 37.79   -4.921E-08  
#
# theta = 146.122 
  6.05    4.574E-02  
  6.43    2.655E-02  
  6.80    1.570E-02  
  7.18    9.536E-03  
  7.56    5.939E-03  
  7.94    3.743E-03  
  8.31    2.339E-03  
  8.69    1.410E-03  
  9.07    7.874E-04  
  9.45    3.727E-04  
  9.83    1.043E-04  
 10.20   -6.146E-05  
 10.58   -1.563E-04  
 10.96   -2.038E-04  
 11.34   -2.204E-04  
 11.72   -2.206E-04  
 12.09   -2.072E-04  
 12.47   -1.884E-04  
 12.85   -1.677E-04  
 13.23   -1.471E-04  
 13.61   -1.279E-04  
 13.98   -1.104E-04  
 14.36   -9.502E-05  
 14.74   -8.160E-05  
 15.12   -7.006E-05  
 15.50   -5.920E-05  
 15.87   -5.110E-05  
 16.25   -4.456E-05  
 16.63   -3.811E-05  
 17.01   -3.140E-05  
 17.95   -2.228E-05  
 18.90   -1.585E-05  
 19.84   -1.157E-05  
 20.79   -8.363E-06  
 21.73   -6.426E-06  
 22.68   -5.638E-06  
 23.62   -3.761E-06  
 24.57   -2.936E-06  
 25.51   -2.330E-06  
 26.46   -1.906E-06  
 27.40   -1.551E-06  
 28.35   -1.216E-06  
 30.24   -6.971E-07  
 32.13   -5.477E-07  
 34.02   -4.570E-07  
 35.90   -2.570E-07  
 37.79   -1.481E-07  
#
# theta = 180.0
  6.05    9.276E-02  
  6.43    5.623E-02  
  6.80    3.369E-02  
  7.18    2.063E-02  
  7.56    1.296E-02  
  7.94    8.304E-03  
  8.31    5.358E-03  
  8.69    3.427E-03  
  9.07    2.127E-03  
  9.45    1.253E-03  
  9.83    6.677E-04  
 10.20    2.871E-04  
 10.58    4.878E-05  
 10.96   -9.446E-05  
 11.34   -1.707E-04  
 11.72   -2.048E-04  
 12.09   -2.134E-04  
 12.47   -2.068E-04  
 12.85   -1.922E-04  
 13.23   -1.737E-04  
 13.61   -1.528E-04  
 13.98   -1.330E-04  
 14.36   -1.150E-04  
 14.74   -9.887E-05  
 15.12   -8.480E-05  
 15.50   -7.262E-05  
 15.87   -6.198E-05  
 16.25   -5.342E-05  
 16.63   -4.600E-05  
 17.01   -3.851E-05  
 17.95   -2.732E-05  
 18.90   -1.925E-05  
 19.84   -1.382E-05  
 20.79   -1.011E-05  
 21.73   -7.718E-06  
 22.68   -5.707E-06  
 23.62   -4.412E-06  
 24.57   -3.473E-06  
 25.51   -2.721E-06  
 26.46   -2.157E-06  
 27.40   -1.661E-06  
 28.35   -1.357E-06  
 30.24   -9.546E-07  
 32.13   -6.607E-07  
 34.02   -5.354E-07  
 35.90   -3.367E-07  
 37.79   -2.264E-07  
