# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4    
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 11.07   -2.310E-04   -2.545E-05    3.867E-06   -3.573E-05    2.670E-05 
 11.15   -2.277E-04   -2.189E-05   -4.354E-06   -3.297E-05    2.306E-05 
 11.22   -2.241E-04   -1.861E-05   -1.179E-05   -3.031E-05    1.990E-05 
 11.30   -2.203E-04   -1.560E-05   -1.851E-05   -2.778E-05    1.706E-05 
 11.38   -2.164E-04   -1.285E-05   -2.458E-05   -2.538E-05    1.442E-05 
 11.45   -2.123E-04   -1.033E-05   -3.003E-05   -2.317E-05    1.194E-05 
 11.53   -2.082E-04   -8.028E-06   -3.487E-05   -2.120E-05    9.628E-06 
 11.60   -2.039E-04   -5.926E-06   -3.911E-05   -1.950E-05    7.513E-06 
 11.68   -1.997E-04   -4.016E-06   -4.276E-05   -1.812E-05    5.636E-06 
 11.75   -1.954E-04   -2.284E-06   -4.584E-05   -1.703E-05    4.013E-06 
 11.83   -1.910E-04   -7.212E-07   -4.839E-05   -1.620E-05    2.622E-06 
 11.91   -1.867E-04    6.793E-07   -5.044E-05   -1.553E-05    1.412E-06 
 11.98   -1.823E-04    1.924E-06   -5.208E-05   -1.494E-05    3.225E-07 
 12.06   -1.778E-04    3.019E-06   -5.335E-05   -1.435E-05   -7.040E-07 
 12.13   -1.734E-04    3.970E-06   -5.436E-05   -1.370E-05   -1.703E-06 
 12.21   -1.689E-04    4.782E-06   -5.509E-05   -1.299E-05   -2.678E-06 
 12.28   -1.645E-04    5.469E-06   -5.563E-05   -1.224E-05   -3.608E-06 
 12.36   -1.601E-04    6.033E-06   -5.604E-05   -1.150E-05   -4.458E-06 
 12.43   -1.557E-04    6.485E-06   -5.627E-05   -1.080E-05   -5.194E-06 
 12.51   -1.514E-04    6.849E-06   -5.641E-05   -1.018E-05   -5.787E-06 
 12.59   -1.471E-04    7.132E-06   -5.641E-05   -9.650E-06   -6.242E-06 
 12.66   -1.429E-04    7.364E-06   -5.627E-05   -9.204E-06   -6.566E-06 
 12.74   -1.388E-04    7.553E-06   -5.600E-05   -8.812E-06   -6.793E-06 
 12.81   -1.349E-04    7.722E-06   -5.559E-05   -8.452E-06   -6.953E-06 
