# Ne(3P) + OCS interaction potential, (2)^3A' surface, from Proj-EOM-EE-CCSD / d-aug-cc-pVTZ  
# Potential expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4    
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 27.70   -1.106E-06   -7.763E-08   -4.614E-07    1.698E-07    2.746E-07 
 27.78   -1.087E-06   -7.952E-08   -4.536E-07    1.657E-07    2.718E-07 
 27.85   -1.069E-06   -8.160E-08   -4.464E-07    1.615E-07    2.687E-07 
 27.93   -1.052E-06   -8.390E-08   -4.393E-07    1.574E-07    2.653E-07 
 28.01   -1.035E-06   -8.642E-08   -4.325E-07    1.535E-07    2.614E-07 
 28.08   -1.018E-06   -8.920E-08   -4.260E-07    1.499E-07    2.571E-07 
 28.16   -1.001E-06   -9.225E-08   -4.195E-07    1.468E-07    2.524E-07 
 28.23   -9.849E-07   -9.558E-08   -4.130E-07    1.443E-07    2.471E-07 
 28.31   -9.686E-07   -9.920E-08   -4.068E-07    1.425E-07    2.413E-07 
 28.38   -9.525E-07   -1.031E-07   -4.006E-07    1.414E-07    2.350E-07 
 28.46   -9.362E-07   -1.073E-07   -3.944E-07    1.412E-07    2.282E-07 
 28.53   -9.204E-07   -1.117E-07   -3.883E-07    1.418E-07    2.209E-07 
 28.61   -9.045E-07   -1.164E-07   -3.821E-07    1.432E-07    2.132E-07 
 28.69   -8.886E-07   -1.213E-07   -3.759E-07    1.454E-07    2.051E-07 
 28.76   -8.728E-07   -1.263E-07   -3.701E-07    1.483E-07    1.967E-07 
 28.84   -8.572E-07   -1.315E-07   -3.639E-07    1.519E-07    1.879E-07 
 28.91   -8.417E-07   -1.367E-07   -3.581E-07    1.560E-07    1.790E-07 
 28.99   -8.262E-07   -1.419E-07   -3.522E-07    1.607E-07    1.700E-07 
 29.06   -8.109E-07   -1.471E-07   -3.460E-07    1.658E-07    1.608E-07 
 29.14   -7.957E-07   -1.522E-07   -3.405E-07    1.712E-07    1.517E-07 
 29.22   -7.805E-07   -1.572E-07   -3.347E-07    1.768E-07    1.427E-07 
 29.29   -7.656E-07   -1.620E-07   -3.291E-07    1.825E-07    1.338E-07 
 29.37   -7.508E-07   -1.666E-07   -3.235E-07    1.881E-07    1.251E-07 
 29.44   -7.362E-07   -1.709E-07   -3.182E-07    1.937E-07    1.167E-07 
 29.52   -7.217E-07   -1.749E-07   -3.130E-07    1.990E-07    1.087E-07 
 29.59   -7.078E-07   -1.785E-07   -3.079E-07    2.041E-07    1.011E-07 
 29.67   -6.939E-07   -1.817E-07   -3.030E-07    2.087E-07    9.389E-08 
 29.74   -6.800E-07   -1.845E-07   -2.983E-07    2.129E-07    8.722E-08 
 29.82   -6.668E-07   -1.869E-07   -2.938E-07    2.165E-07    8.109E-08 
 29.90   -6.536E-07   -1.887E-07   -2.896E-07    2.195E-07    7.553E-08 
 29.97   -6.410E-07   -1.900E-07   -2.855E-07    2.218E-07    7.059E-08 
 30.05   -6.285E-07   -1.908E-07   -2.816E-07    2.234E-07    6.627E-08 
 30.12   -6.166E-07   -1.911E-07   -2.780E-07    2.242E-07    6.258E-08 
 30.20   -6.047E-07   -1.909E-07   -2.745E-07    2.243E-07    5.953E-08 
 30.27   -5.934E-07   -1.901E-07   -2.713E-07    2.236E-07    5.712E-08 
 30.35   -5.822E-07   -1.887E-07   -2.683E-07    2.222E-07    5.532E-08 
 30.42   -5.716E-07   -1.869E-07   -2.655E-07    2.199E-07    5.412E-08 
 30.50   -5.613E-07   -1.846E-07   -2.629E-07    2.170E-07    5.350E-08 
 30.58   -5.514E-07   -1.817E-07   -2.604E-07    2.133E-07    5.341E-08 
 30.65   -5.418E-07   -1.785E-07   -2.582E-07    2.090E-07    5.382E-08 
 30.73   -5.329E-07   -1.748E-07   -2.561E-07    2.041E-07    5.469E-08 
 30.80   -5.240E-07   -1.707E-07   -2.541E-07    1.987E-07    5.596E-08 
 30.88   -5.157E-07   -1.662E-07   -2.523E-07    1.928E-07    5.759E-08 
 30.95   -5.078E-07   -1.615E-07   -2.505E-07    1.864E-07    5.952E-08 
 31.03   -5.002E-07   -1.564E-07   -2.489E-07    1.797E-07    6.172E-08 
 31.10   -4.929E-07   -1.511E-07   -2.473E-07    1.727E-07    6.412E-08 
 31.18   -4.860E-07   -1.455E-07   -2.458E-07    1.655E-07    6.667E-08 
 31.26   -4.794E-07   -1.398E-07   -2.443E-07    1.581E-07    6.932E-08 
 31.33   -4.731E-07   -1.339E-07   -2.429E-07    1.506E-07    7.203E-08 
 31.41   -4.675E-07   -1.279E-07   -2.415E-07    1.431E-07    7.473E-08 
 31.48   -4.618E-07   -1.218E-07   -2.401E-07    1.357E-07    7.739E-08 
 31.56   -4.565E-07   -1.157E-07   -2.386E-07    1.283E-07    7.996E-08 
 31.63   -4.516E-07   -1.095E-07   -2.371E-07    1.210E-07    8.240E-08 
 31.71   -4.470E-07   -1.034E-07   -2.356E-07    1.140E-07    8.467E-08 
 31.79   -4.423E-07   -9.732E-08   -2.341E-07    1.072E-07    8.673E-08 
 31.86   -4.384E-07   -9.131E-08   -2.324E-07    1.006E-07    8.857E-08 
 31.94   -4.341E-07   -8.539E-08   -2.307E-07    9.437E-08    9.013E-08 
 32.01   -4.304E-07   -7.960E-08   -2.289E-07    8.848E-08    9.141E-08 
 32.09   -4.268E-07   -7.394E-08   -2.270E-07    8.296E-08    9.238E-08 
 32.16   -4.235E-07   -6.845E-08   -2.251E-07    7.782E-08    9.303E-08 
 32.24   -4.202E-07   -6.312E-08   -2.230E-07    7.307E-08    9.334E-08 
 32.31   -4.169E-07   -5.799E-08   -2.208E-07    6.873E-08    9.331E-08 
 32.39   -4.139E-07   -5.304E-08   -2.185E-07    6.480E-08    9.294E-08 
 32.47   -4.109E-07   -4.832E-08   -2.161E-07    6.126E-08    9.223E-08 
 32.54   -4.080E-07   -4.379E-08   -2.136E-07    5.813E-08    9.118E-08 
 32.62   -4.050E-07   -3.949E-08   -2.110E-07    5.537E-08    8.980E-08 
 32.69   -4.023E-07   -3.541E-08   -2.083E-07    5.298E-08    8.810E-08 
 32.77   -3.994E-07   -3.156E-08   -2.055E-07    5.094E-08    8.609E-08 
 32.84   -3.964E-07   -2.793E-08   -2.026E-07    4.923E-08    8.378E-08 
 32.92   -3.934E-07   -2.453E-08   -1.995E-07    4.784E-08    8.119E-08 
 32.99   -3.904E-07   -2.135E-08   -1.964E-07    4.673E-08    7.833E-08 
 33.07   -3.871E-07   -1.839E-08   -1.933E-07    4.589E-08    7.522E-08 
 33.15   -3.841E-07   -1.564E-08   -1.900E-07    4.528E-08    7.188E-08 
 33.22   -3.808E-07   -1.311E-08   -1.866E-07    4.490E-08    6.833E-08 
 33.30   -3.772E-07   -1.079E-08   -1.832E-07    4.471E-08    6.458E-08 
 33.37   -3.736E-07   -8.668E-09   -1.797E-07    4.468E-08    6.065E-08 
 33.45   -3.699E-07   -6.743E-09   -1.762E-07    4.480E-08    5.658E-08 
 33.52   -3.660E-07   -5.007E-09   -1.726E-07    4.504E-08    5.235E-08 
 33.60   -3.620E-07   -3.453E-09   -1.690E-07    4.538E-08    4.801E-08 
 33.67   -3.577E-07   -2.073E-09   -1.653E-07    4.580E-08    4.357E-08 
 33.75   -3.534E-07   -8.605E-10   -1.616E-07    4.627E-08    3.905E-08 
 33.83   -3.488E-07    1.935E-10   -1.578E-07    4.679E-08    3.445E-08 
 33.90   -3.441E-07    1.097E-09   -1.540E-07    4.733E-08    2.981E-08 
 33.98   -3.392E-07    1.857E-09   -1.503E-07    4.787E-08    2.512E-08 
 34.05   -3.342E-07    2.484E-09   -1.465E-07    4.841E-08    2.042E-08 
 34.13   -3.291E-07    2.984E-09   -1.427E-07    4.893E-08    1.570E-08 
 34.20   -3.238E-07    3.366E-09   -1.389E-07    4.943E-08    1.099E-08 
 34.28   -3.183E-07    3.639E-09   -1.351E-07    4.989E-08    6.289E-09 
 34.36   -3.127E-07    3.810E-09   -1.314E-07    5.031E-08    1.611E-09 
 34.43   -3.070E-07    3.888E-09   -1.276E-07    5.069E-08   -3.034E-09 
 34.51   -3.012E-07    3.880E-09   -1.239E-07    5.102E-08   -7.639E-09 
 34.58   -2.953E-07    3.794E-09   -1.202E-07    5.130E-08   -1.220E-08 
 34.66   -2.893E-07    3.638E-09   -1.166E-07    5.153E-08   -1.670E-08 
 34.73   -2.833E-07    3.419E-09   -1.130E-07    5.171E-08   -2.114E-08 
 34.81   -2.772E-07    3.143E-09   -1.094E-07    5.183E-08   -2.552E-08 
 34.88   -2.712E-07    2.819E-09   -1.059E-07    5.191E-08   -2.983E-08 
 34.96   -2.651E-07    2.452E-09   -1.025E-07    5.194E-08   -3.406E-08 
 35.04   -2.590E-07    2.049E-09   -9.907E-08    5.193E-08   -3.821E-08 
 35.11   -2.529E-07    1.617E-09   -9.575E-08    5.187E-08   -4.229E-08 
 35.19   -2.469E-07    1.159E-09   -9.248E-08    5.178E-08   -4.627E-08 
 35.26   -2.409E-07    6.836E-10   -8.929E-08    5.166E-08   -5.018E-08 
 35.34   -2.350E-07    1.943E-10   -8.617E-08    5.150E-08   -5.399E-08 
 35.41   -2.292E-07   -3.037E-10   -8.313E-08    5.131E-08   -5.772E-08 
 35.49   -2.234E-07   -8.059E-10   -8.016E-08    5.110E-08   -6.136E-08 
 35.56   -2.178E-07   -1.308E-09   -7.727E-08    5.087E-08   -6.490E-08 
 35.64   -2.122E-07   -1.806E-09   -7.446E-08    5.062E-08   -6.835E-08 
 35.72   -2.068E-07   -2.297E-09   -7.173E-08    5.036E-08   -7.171E-08 
 35.79   -2.015E-07   -2.776E-09   -6.909E-08    5.009E-08   -7.497E-08 
 35.87   -1.963E-07   -3.243E-09   -6.652E-08    4.982E-08   -7.815E-08 
 35.94   -1.913E-07   -3.693E-09   -6.404E-08    4.954E-08   -8.123E-08 
 36.02   -1.864E-07   -4.125E-09   -6.165E-08    4.926E-08   -8.422E-08 
 36.09   -1.817E-07   -4.536E-09   -5.934E-08    4.898E-08   -8.713E-08 
 36.17   -1.772E-07   -4.927E-09   -5.710E-08    4.870E-08   -8.994E-08 
 36.24   -1.727E-07   -5.294E-09   -5.496E-08    4.843E-08   -9.266E-08 
 36.32   -1.685E-07   -5.638E-09   -5.290E-08    4.816E-08   -9.530E-08 
 36.40   -1.644E-07   -5.957E-09   -5.091E-08    4.791E-08   -9.784E-08 
 36.47   -1.604E-07   -6.251E-09   -4.901E-08    4.765E-08   -1.003E-07 
 36.55   -1.566E-07   -6.520E-09   -4.719E-08    4.741E-08   -1.027E-07 
 36.62   -1.530E-07   -6.764E-09   -4.544E-08    4.718E-08   -1.050E-07 
 36.70   -1.495E-07   -6.982E-09   -4.376E-08    4.695E-08   -1.072E-07 
 36.77   -1.462E-07   -7.175E-09   -4.216E-08    4.674E-08   -1.093E-07 
 36.85   -1.430E-07   -7.343E-09   -4.063E-08    4.654E-08   -1.114E-07 
 36.93   -1.400E-07   -7.486E-09   -3.917E-08    4.635E-08   -1.134E-07 
 37.00   -1.371E-07   -7.605E-09   -3.778E-08    4.617E-08   -1.153E-07 
 37.08   -1.344E-07   -7.701E-09   -3.646E-08    4.600E-08   -1.171E-07 
 37.15   -1.317E-07   -7.774E-09   -3.520E-08    4.584E-08   -1.189E-07 
 37.23   -1.292E-07   -7.826E-09   -3.400E-08    4.569E-08   -1.206E-07 
 37.30   -1.269E-07   -7.855E-09   -3.286E-08    4.555E-08   -1.222E-07 
 37.38   -1.246E-07   -7.864E-09   -3.178E-08    4.541E-08   -1.238E-07 
 37.45   -1.225E-07   -7.854E-09   -3.075E-08    4.529E-08   -1.253E-07 
 37.53   -1.205E-07   -7.824E-09   -2.978E-08    4.518E-08   -1.267E-07 
 37.61   -1.186E-07   -7.777E-09   -2.886E-08    4.507E-08   -1.281E-07 
 37.68   -1.168E-07   -7.712E-09   -2.800E-08    4.497E-08   -1.294E-07 
 37.76   -1.151E-07   -7.630E-09   -2.718E-08    4.488E-08   -1.306E-07 
