# Ne(3P) + OCS: partial ionization width (Gamma) from (2)^3A' surface into B^2\Sigma^+ state of OCS^+  
# Gamma expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4
# All data are in atomic units (Bohr / Hartree)
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 11.30    5.562E-08    6.436E-08    1.851E-07    1.500E-08    1.637E-07 
 11.38    4.767E-08    5.592E-08    1.584E-07    1.294E-08    1.401E-07 
 11.45    4.088E-08    4.855E-08    1.356E-07    1.116E-08    1.198E-07 
 11.53    3.506E-08    4.213E-08    1.161E-07    9.609E-09    1.024E-07 
 11.60    3.008E-08    3.654E-08    9.943E-08    8.266E-09    8.759E-08 
 11.68    2.581E-08    3.168E-08    8.517E-08    7.102E-09    7.489E-08 
 11.75    2.215E-08    2.745E-08    7.296E-08    6.097E-09    6.402E-08 
 11.83    1.902E-08    2.377E-08    6.251E-08    5.228E-09    5.472E-08 
 11.91    1.633E-08    2.058E-08    5.357E-08    4.479E-09    4.677E-08 
 11.98    1.402E-08    1.781E-08    4.592E-08    3.834E-09    3.997E-08 
 12.06    1.205E-08    1.540E-08    3.936E-08    3.279E-09    3.416E-08 
 12.13    1.035E-08    1.332E-08    3.374E-08    2.802E-09    2.919E-08 
 12.21    8.893E-09    1.152E-08    2.893E-08    2.393E-09    2.494E-08 
 12.28    7.643E-09    9.955E-09    2.481E-08    2.042E-09    2.131E-08 
 12.36    6.569E-09    8.602E-09    2.128E-08    1.741E-09    1.820E-08 
 12.43    5.648E-09    7.432E-09    1.825E-08    1.484E-09    1.555E-08 
 12.51    4.856E-09    6.419E-09    1.566E-08    1.264E-09    1.328E-08 
 12.59    4.175E-09    5.544E-09    1.343E-08    1.076E-09    1.134E-08 
 12.66    3.591E-09    4.787E-09    1.152E-08    9.149E-10    9.686E-09 
 12.74    3.088E-09    4.133E-09    9.886E-09    7.778E-10    8.271E-09 
 12.81    2.656E-09    3.567E-09    8.483E-09    6.610E-10    7.063E-09 
 12.89    2.285E-09    3.079E-09    7.279E-09    5.614E-10    6.031E-09 
 12.96    1.966E-09    2.658E-09    6.247E-09    4.766E-10    5.149E-09 
 13.04    1.691E-09    2.294E-09    5.361E-09    4.044E-10    4.396E-09 
 13.11    1.455E-09    1.979E-09    4.601E-09    3.430E-10    3.753E-09 
 13.19    1.252E-09    1.708E-09    3.949E-09    2.908E-10    3.204E-09 
 13.27    1.077E-09    1.474E-09    3.389E-09    2.464E-10    2.735E-09 
 13.34    9.272E-10    1.272E-09    2.909E-09    2.087E-10    2.334E-09 
 13.42    7.980E-10    1.097E-09    2.497E-09    1.767E-10    1.992E-09 
 13.49    6.867E-10    9.466E-10    2.143E-09    1.496E-10    1.701E-09 
 13.57    5.910E-10    8.167E-10    1.840E-09    1.265E-10    1.451E-09 
 13.64    5.087E-10    7.046E-10    1.579E-09    1.070E-10    1.239E-09 
 13.72    4.379E-10    6.079E-10    1.356E-09    9.046E-11    1.057E-09 
 13.79    3.769E-10    5.245E-10    1.164E-09    7.643E-11    9.019E-10 
 13.87    3.244E-10    4.525E-10    9.992E-10    6.455E-11    7.696E-10 
 13.95    2.793E-10    3.904E-10    8.578E-10    5.450E-11    6.567E-10 
 14.02    2.404E-10    3.368E-10    7.364E-10    4.599E-11    5.603E-10 
 14.10    2.069E-10    2.906E-10    6.322E-10    3.878E-11    4.780E-10 
 14.17    1.781E-10    2.507E-10    5.427E-10    3.269E-11    4.078E-10 
 14.25    1.534E-10    2.163E-10    4.660E-10    2.755E-11    3.479E-10 
 14.32    1.320E-10    1.866E-10    4.000E-10    2.320E-11    2.967E-10 
 14.40    1.137E-10    1.610E-10    3.434E-10    1.952E-11    2.531E-10 
 14.48    9.787E-11    1.389E-10    2.949E-10    1.642E-11    2.159E-10 
 14.55    8.427E-11    1.199E-10    2.532E-10    1.381E-11    1.841E-10 
 14.63    7.255E-11    1.034E-10    2.174E-10    1.160E-11    1.570E-10 
 14.70    6.247E-11    8.924E-11    1.866E-10    9.736E-12    1.339E-10 
 14.78    5.379E-11    7.700E-11    1.602E-10    8.168E-12    1.142E-10 
 14.85    4.632E-11    6.644E-11    1.376E-10    6.847E-12    9.738E-11 
 14.93    3.988E-11    5.732E-11    1.181E-10    5.735E-12    8.303E-11 
 15.00    3.434E-11    4.946E-11    1.014E-10    4.799E-12    7.079E-11 
