# Ne(3P) + OCS: partial ionization width (Gamma) from (2)^3A' surface into A^2\Pi state of OCS^+  
# Gamma expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4
# All data are in atomic units (Bohr / Hartree)
# For R > 15 a.u., Gamma should be assumed 0       
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 10.85    5.942E-08   -1.011E-07    1.032E-07   -2.813E-08   -5.872E-08   
 10.92    5.016E-08   -8.492E-08    8.691E-08   -2.375E-08   -4.949E-08   
 11.00    4.131E-08   -6.948E-08    7.140E-08   -1.958E-08   -4.067E-08   
 11.07    3.484E-08   -5.825E-08    6.008E-08   -1.653E-08   -3.423E-08   
 11.15    2.867E-08   -4.758E-08    4.931E-08   -1.362E-08   -2.809E-08   
 11.22    2.416E-08   -3.984E-08    4.146E-08   -1.150E-08   -2.361E-08   
 11.30    1.986E-08   -3.249E-08    3.398E-08   -9.480E-09   -1.935E-08   
 11.38    1.632E-08   -2.647E-08    2.784E-08   -7.812E-09   -1.584E-08   
 11.45    1.373E-08   -2.211E-08    2.338E-08   -6.596E-09   -1.329E-08   
 11.53    1.127E-08   -1.799E-08    1.913E-08   -5.435E-09   -1.086E-08   
 11.60    9.481E-09   -1.500E-08    1.605E-08   -4.589E-09   -9.100E-09   
 11.68    7.776E-09   -1.218E-08    1.312E-08   -3.781E-09   -7.428E-09   
 11.75    6.535E-09   -1.014E-08    1.100E-08   -3.192E-09   -6.216E-09   
 11.83    5.356E-09   -8.221E-09    8.983E-09   -2.631E-09   -5.067E-09   
 11.91    4.387E-09   -6.657E-09    7.333E-09   -2.168E-09   -4.127E-09   
 11.98    3.684E-09   -5.529E-09    6.137E-09   -1.830E-09   -3.446E-09   
 12.06    3.015E-09   -4.468E-09    5.005E-09   -1.508E-09   -2.803E-09   
 12.13    2.530E-09   -3.705E-09    4.185E-09   -1.274E-09   -2.338E-09   
 12.21    2.070E-09   -2.988E-09    3.410E-09   -1.050E-09   -1.899E-09   
 12.28    1.735E-09   -2.473E-09    2.849E-09   -8.861E-10   -1.582E-09   
 12.36    1.419E-09   -1.990E-09    2.319E-09   -7.303E-10   -1.283E-09   
 12.43    1.189E-09   -1.644E-09    1.936E-09   -6.167E-10   -1.068E-09   
 12.51    9.715E-10   -1.320E-09    1.574E-09   -5.083E-10   -8.649E-10   
 12.59    7.936E-10   -1.058E-09    1.280E-09   -4.190E-10   -7.001E-10   
 12.66    6.646E-10   -8.713E-10    1.067E-09   -3.538E-10   -5.815E-10   
 12.74    5.426E-10   -6.969E-10    8.664E-10   -2.917E-10   -4.701E-10   
 12.81    4.543E-10   -5.725E-10    7.219E-10   -2.463E-10   -3.900E-10   
 12.89    3.708E-10   -4.566E-10    5.857E-10   -2.031E-10   -3.149E-10   
 12.96    3.103E-10   -3.741E-10    4.876E-10   -1.715E-10   -2.609E-10   
 13.04    2.532E-10   -2.975E-10    3.953E-10   -1.414E-10   -2.104E-10   
 13.11    2.118E-10   -2.431E-10    3.289E-10   -1.195E-10   -1.742E-10   
 13.19    1.728E-10   -1.927E-10    2.664E-10   -9.853E-11   -1.403E-10   
 13.27    1.409E-10   -1.524E-10    2.157E-10   -8.126E-11   -1.129E-10   
 13.34    1.179E-10   -1.239E-10    1.792E-10   -6.866E-11   -9.333E-11   
 13.42    9.615E-11   -9.764E-11    1.450E-10   -5.664E-11   -7.503E-11   
 13.49    8.044E-11   -7.909E-11    1.204E-10   -4.787E-11   -6.196E-11   
 13.57    6.560E-11   -6.203E-11    9.739E-11   -3.949E-11   -4.977E-11   
 13.64    5.488E-11   -5.003E-11    8.083E-11   -3.338E-11   -4.106E-11   
 13.72    4.476E-11   -3.902E-11    6.531E-11   -2.755E-11   -3.295E-11   
 13.79    3.745E-11   -3.131E-11    5.418E-11   -2.329E-11   -2.716E-11   
 13.87    3.055E-11   -2.427E-11    4.375E-11   -1.923E-11   -2.177E-11   
 13.95    2.493E-11   -1.873E-11    3.532E-11   -1.587E-11   -1.745E-11   
 14.02    2.087E-11   -1.488E-11    2.928E-11   -1.343E-11   -1.437E-11   
 14.10    1.703E-11   -1.138E-11    2.362E-11   -1.109E-11   -1.150E-11   
 14.17    1.426E-11   -8.959E-12    1.957E-11   -9.380E-12   -9.469E-12   
 14.25    1.165E-11   -6.774E-12    1.578E-11   -7.750E-12   -7.578E-12   
 14.32    9.757E-12   -5.271E-12    1.307E-11   -6.558E-12   -6.234E-12   
 14.40    7.973E-12   -3.923E-12    1.054E-11   -5.420E-12   -4.987E-12   
 14.48    6.517E-12   -2.888E-12    8.492E-12   -4.480E-12   -3.988E-12   
 14.55    5.464E-12   -2.185E-12    7.030E-12   -3.794E-12   -3.280E-12   
 14.63    4.470E-12   -1.564E-12    5.664E-12   -3.137E-12   -2.623E-12   
 14.70    3.751E-12   -1.146E-12    4.688E-12   -2.657E-12   -2.157E-12   
 14.78    3.071E-12   -7.813E-13    3.776E-12   -2.199E-12   -1.725E-12   
 14.85    2.579E-12   -5.401E-13    3.125E-12   -1.863E-12   -1.418E-12   
 14.93    2.113E-12   -3.333E-13    2.517E-12   -1.542E-12   -1.134E-12   
 15.00    1.776E-12   -1.994E-13    2.082E-12   -1.307E-12   -9.332E-13   
