# Ne(3P) + OCS: partial ionization width (Gamma) from (2)^3A' surface into X^2\Pi state of OCS^+  
# Gamma expanded in terms of Legendre polynomials 
# Below are Legendre radial functions from L = 0 to L = 4
# All data are in atomic units (Bohr / Hartree)   
# 
# R       L = 0        L = 1        L = 2        L = 3        L = 4
 11.00    1.150E-07    1.612E-07    9.896E-08   -7.521E-08   -1.084E-07 
 11.07    9.934E-08    1.398E-07    8.370E-08   -6.480E-08   -9.241E-08 
 11.15    8.574E-08    1.212E-07    7.067E-08   -5.583E-08   -7.869E-08 
 11.22    7.397E-08    1.049E-07    5.956E-08   -4.809E-08   -6.692E-08 
 11.30    6.379E-08    9.080E-08    5.011E-08   -4.142E-08   -5.682E-08 
 11.38    5.499E-08    7.851E-08    4.207E-08   -3.567E-08   -4.817E-08 
 11.45    4.738E-08    6.783E-08    3.525E-08   -3.072E-08   -4.078E-08 
 11.53    4.081E-08    5.855E-08    2.947E-08   -2.645E-08   -3.445E-08 
 11.60    3.514E-08    5.050E-08    2.458E-08   -2.277E-08   -2.906E-08 
 11.68    3.024E-08    4.352E-08    2.044E-08   -1.960E-08   -2.446E-08 
 11.75    2.602E-08    3.747E-08    1.696E-08   -1.687E-08   -2.055E-08 
 11.83    2.238E-08    3.224E-08    1.403E-08   -1.452E-08   -1.723E-08 
 11.91    1.924E-08    2.772E-08    1.157E-08   -1.249E-08   -1.441E-08 
 11.98    1.654E-08    2.381E-08    9.502E-09   -1.075E-08   -1.202E-08 
 12.06    1.421E-08    2.044E-08    7.775E-09   -9.248E-09   -9.998E-09 
 12.13    1.221E-08    1.753E-08    6.334E-09   -7.955E-09   -8.292E-09 
 12.21    1.048E-08    1.502E-08    5.134E-09   -6.842E-09   -6.855E-09 
 12.28    8.999E-09    1.286E-08    4.137E-09   -5.883E-09   -5.647E-09 
 12.36    7.725E-09    1.100E-08    3.312E-09   -5.059E-09   -4.632E-09 
 12.43    6.629E-09    9.404E-09    2.631E-09   -4.349E-09   -3.783E-09 
 12.51    5.688E-09    8.033E-09    2.071E-09   -3.738E-09   -3.073E-09 
 12.59    4.880E-09    6.856E-09    1.612E-09   -3.212E-09   -2.481E-09 
 12.66    4.186E-09    5.847E-09    1.238E-09   -2.760E-09   -1.990E-09 
 12.74    3.590E-09    4.983E-09    9.333E-10   -2.371E-09   -1.583E-09 
 12.81    3.079E-09    4.243E-09    6.875E-10   -2.036E-09   -1.247E-09 
 12.89    2.640E-09    3.610E-09    4.902E-10   -1.748E-09   -9.705E-10 
 12.96    2.264E-09    3.069E-09    3.329E-10   -1.501E-09   -7.441E-10 
 13.04    1.941E-09    2.607E-09    2.086E-10   -1.288E-09   -5.595E-10 
 13.11    1.664E-09    2.213E-09    1.112E-10   -1.105E-09   -4.098E-10 
 13.19    1.427E-09    1.877E-09    3.604E-11   -9.476E-10   -2.892E-10 
 13.27    1.224E-09    1.591E-09   -2.118E-11   -8.126E-10   -1.927E-10 
 13.34    1.049E-09    1.348E-09   -6.384E-11   -6.965E-10   -1.162E-10 
 13.42    9.000E-10    1.141E-09   -9.479E-11   -5.968E-10   -5.607E-11 
 13.49    7.720E-10    9.648E-10   -1.164E-10   -5.113E-10   -9.476E-12 
 13.57    6.623E-10    8.154E-10   -1.305E-10   -4.378E-10    2.608E-11 
 13.64    5.683E-10    6.886E-10   -1.388E-10   -3.748E-10    5.264E-11 
 13.72    4.878E-10    5.811E-10   -1.426E-10   -3.207E-10    7.194E-11 
 13.79    4.187E-10    4.901E-10   -1.429E-10   -2.743E-10    8.538E-11 
 13.87    3.595E-10    4.130E-10   -1.405E-10   -2.345E-10    9.416E-11 
 13.95    3.088E-10    3.478E-10   -1.363E-10   -2.004E-10    9.925E-11 
 14.02    2.654E-10    2.927E-10   -1.306E-10   -1.712E-10    1.015E-10 
 14.10    2.281E-10    2.461E-10   -1.241E-10   -1.462E-10    1.014E-10 
 14.17    1.961E-10    2.069E-10   -1.169E-10   -1.248E-10    9.971E-11 
 14.25    1.687E-10    1.737E-10   -1.095E-10   -1.065E-10    9.674E-11 
 14.32    1.452E-10    1.458E-10   -1.019E-10   -9.077E-11    9.287E-11 
 14.40    1.250E-10    1.223E-10   -9.444E-11   -7.736E-11    8.838E-11 
 14.48    1.077E-10    1.025E-10   -8.714E-11   -6.590E-11    8.349E-11 
 14.55    9.284E-11    8.586E-11   -8.011E-11   -5.611E-11    7.839E-11 
 14.63    8.007E-11    7.187E-11   -7.340E-11   -4.775E-11    7.321E-11 
 14.70    6.909E-11    6.012E-11   -6.706E-11   -4.062E-11    6.805E-11 
 14.78    5.966E-11    5.027E-11   -6.111E-11   -3.453E-11    6.301E-11 
 14.85    5.154E-11    4.200E-11   -5.556E-11   -2.934E-11    5.813E-11 
 14.93    4.456E-11    3.507E-11   -5.041E-11   -2.492E-11    5.346E-11 
 15.00    3.855E-11    2.927E-11   -4.564E-11   -2.115E-11    4.902E-11 
